readId,taxonId,minimizKmersHitsTaxon|totMinimizKmers
@mitoc>NC_036331.1 Tadarida latouchei voucher ROM MAM 118321 mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_058789.1 Skeletonema grevillei strain CNS00438 mitochondrion  complete genome$2pointsRearrangement$NA,?,?|?
@mitoc>NC_036332.1 Phaedyma columella voucher N1-0653 mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_036329.1 Atractosteus tristoechus voucher C34 mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_036334.1 Moduza procris voucher N1-2294 mitochondrion  complete genome$2pointsRearrangement$NA,3621,2|223
@mitoc>NC_071819.1 Hypoderma sinense mitochondrion  complete genome$errorrate$0.01,3877,1|216
@mitoc>NC_028327.1 Bactrocera arecae isolate BA1 mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_028413.1 Sarcophaga albiceps mitochondrion  complete genome$errorrate$0.05,3881,1|244
@mitoc>NC_028436.1 Paradoxornis fulvifrons voucher PFUL20150817V2 mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_028313.1 Lynx canadensis isolate LCA mitochondrion  complete genome$errorrate$0.01,314,1|244
@mitoc>NC_028509.1 Creteuchiloglanis macropterus mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_028613.1 Tetartopeus terminatus mitochondrion  complete genome$errorrate$0.01,?,?|?
@randoSequence$randomSequence$NA,?,?|?
@mitoc>NC_022815.1 Montifringilla ruficollis mitochondrion  complete genome$errorrate$0.01,?,?|?
@randoSequence$randomSequence$NA,?,?|?
@mitoc>NC_028151.1 Ictalurus furcatus mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_022862.1 Microspora stagnorum culture-collection SAG:51.86 mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_022864.1 Corallium rubrum mitochondrial DNA  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_022863.1 Roya obtusa culture-collection SAG:168.80 mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_022865.1 Retinia pseudotsugaicola mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_022866.1 Schizopyge niger mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_022851.1 Leptobotia rubrilabris mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_037993.1 Moschiola indica mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_038135.1 Freysuila caesalpiniae mitochondrion  complete genome$errorrate$0.05,647,1|230
@mitoc>NC_037698.1 Callipogon relictus voucher NHC-A-2016-120 mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_038134.1 Euphyllura phillyreae mitochondrion  complete genome$errorrate$0.05,3696,1|259
@mitoc>NC_038136.1 Leptynoptera sulfurea mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_038145.1 Porolithon onkodes voucher TRH A26-1494 mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_037695.1 Charybdis bimaculata mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_038143.1 Trioza remota mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_038146.1 Acizzia uncatoides mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_038147.1 Blastopsylla occidentalis mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_037697.1 Paratoxodera polyacantha mitochondrion  complete genome$2pointsRearrangement$NA,?,?|?
@mitoc>NC_042141.1 Cylicodontophorus bicoronatus mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_050686.1 Taku spinosocarinatus mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_071822.1 Teredorus anhuiensis mitochondrion  complete genome$errorrate$0.05,3697,1|216
@mitoc>NC_071823.1 Porodaedalea niemelaei mitochondrion  complete genome$errorrate$0.01,1669,1|205
@mitoc>NC_071826.1 Fuscoporia viticola mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_071824.1 Porodaedalea chrysoloma mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_071830.1 Brueelia nebulosa isolate et.F2 mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_028405.1 Acipenser medirostris mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_022869.1 Onychostoma rara mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_028318.1 Leopardus wiedii isolate LWI mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_052899.1 Ochthebius magnannulatus voucher IBE<ESP>:AN328 mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_028408.1 Gallicrex cinerea mitochondrion  complete genome$errorrate$0.01,?,?|?
@randoSequence$randomSequence$NA,?,?|?
@mitoc>NC_022836.1 Scleropages jardinii mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_028406.1 Epinephelus malabaricus mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_022841.1 Rhinobatos hynnicephalus mitochondrion  complete genome$errorrate$0.01,?,?|?
@randoSequence$randomSequence$NA,?,?|?
@mitoc>NC_022830.1 Acropora digitifera mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_037702.1 Pygoscelis papua isolate 12 mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_037703.1 Saccharomycodes ludwigii strain Y-8871 mitochondrion  complete genome$errorrate$0.01,3697,2|236
@randoSequence$randomSequence$NA,?,?|?
@mitoc>NC_037757.1 Cantharellus lutescens isolate s144 mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_022852.1 Pseudobrama simoni mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_037756.1 Cantharellus appalachiensis isolate s38 mitochondrion  complete genome$errorrate$0.01,931,1|193
@mitoc>NC_037755.1 Dentex dentex mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_037754.1 Suwallia teleckojensis mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_037751.1 Paroster mesosturtensis mitochondrion  complete genome$errorrate$0.01,1646,1|236
@mitoc>NC_038149.1 Heteropsylla sp. DMP-2018 isolate DP1.idba.120_cir mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_038148.1 Cacopsylla pyri mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_038151.1 Misgurnus mizolepis mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_038154.1 Neptis alwina voucher CH20160622 mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_038152.1 Anthracoceros coronatus mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_039423.1 Hyporhamphus quoyi mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_039422.1 Choristoneura pinus pinus mitochondrion  complete genome$errorrate$0.05,1680,1|244
@mitoc>NC_039444.1 Proechimys simonsi voucher FMNH:41462 mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_050677.1 Saron marmoratus mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_042717.1 Sinorhodeus microlepis mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_060989.1 Tetrapedia diversipes mitochondrion  complete genome$errorrate$0.01,?,?|?
@randoSequence$randomSequence$NA,?,?|?
@mitoc>NC_050696.1 Libellula angelina mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_060988.1 Micrarionta opuntia voucher JCN 20691 mitochondrion  complete genome$errorrate$0.01,2664,1|237
@mitoc>NC_042712.1 Bactrocera biguttula mitochondrion  complete genome$2pointsRearrangement$NA,?,?|?
@mitoc>NC_042151.1 Aristobia reticulator mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_028412.1 Chrysomya nigripes mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_060990.1 Mangifera longipes mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_042150.1 Cydalima perspectalis mitochondrion  complete genome$errorrate$0.05,3695,1|258
@mitoc>NC_028411.1 Calliphora vomitoria mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_052778.1 Penelope pileata mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_031524.1 Cyclocheilichthys janthochir mitochondrial DNA  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_028432.1 Gymnogobius urotaenia mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_028434.1 Pseudobagrus koreanus mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_052808.1 Zapornia atra mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_028445.1 Calameuta filiformis mitochondrion  complete genome$2pointsRearrangement$NA,?,?|?
@mitoc>NC_032029.1 Asterionella formosa strain BGM1 mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_052800.1 Crotophaga sulcirostris mitochondrion  complete genome$errorrate$0.01,?,?|?
@randoSequence$randomSequence$NA,?,?|?
@mitoc>NC_053804.1 Lamottemys okuensis voucher MNHN-ZM-2011-957 mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_037786.1 Anopheles rangeli clone AC01_10 mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_035563.1 Microcebus mittermeieri isolate JAR1 mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_042722.1 Uvitellina sp. SSS-2019 isolate Pakistan mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_037782.1 Toromys albiventris mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_037785.1 Lytechinus variegatus isolate Lv4 mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_037783.1 Toromys rhipidurus mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_053808.1 Dephomys defua voucher MNHN-ZM-2011-343 mitochondrion  complete genome$errorrate$0.05,?,?|?
@randoSequence$randomSequence$NA,2730,1|207
@mitoc>NC_042723.1 Macropsis notata voucher GZU-HO-000006 mitochondrion  complete genome$errorrate$0.01,1684,1|229
@randoSequence$randomSequence$NA,?,?|?
@mitoc>NC_038157.1 Vanessa indica mitochondrion  complete genome$errorrate$0.01,2407,1|243
@mitoc>NC_042163.1 Isonychia kiangsinensis mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_042737.1 Megatherium americanum voucher C.2C_Layer 2 mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_042728.1 Engraulis ringens mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_037789.1 Anopheles medialis clone AP17 mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_042168.1 Trichiurus haumela mitochondrion  complete genome$errorrate$0.01,3333,1|260
@mitoc>NC_038155.1 Alasmidonta varicosa mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_042729.1 Stolephorus insularis mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_045360.1 Athalia icar mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_024629.1 Chiropotes israelita mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_060995.1 Aulacomnium turgidum mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_069952.1 Drechslerella dactyloides strain YMF1.00031 mitochondrion  complete genome$2pointsRearrangement$NA,?,?|?
@mitoc>NC_024627.1 Nilaparvata muiri mitochondrion  complete genome$errorrate$0.01,3158,1|226
@mitoc>NC_028420.1 Seriolina nigrofasciata mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_039453.1 Pseudocalotes microlepis mitochondrion  complete genome$errorrate$0.05,?,?|?
@randoSequence$randomSequence$NA,?,?|?
@mitoc>NC_026063.1 Ovis orientalis breed Asian mouflon mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_022803.1 Anodonta anatina isolate 106 haplotype F mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_060993.1 Narke japonica mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_032032.1 Paragonimus ohirai strain Kino mitochondrion  complete genome$2pointsRearrangement$NA,?,?|?
@mitoc>NC_069953.1 Succinea erythrophana voucher XJU_S13029 mitochondrion  complete genome$errorrate$0.05,1407,1|255
@randoSequence$randomSequence$NA,?,?|?
@mitoc>NC_037938.1 Ganoderma calidophilum mitochondrion  complete genome$errorrate$0.05,852,2|256
@mitoc>NC_037909.1 Pidorus atratus mitochondrion  complete genome$errorrate$0.01,?,?|?
@randoSequence$randomSequence$NA,?,?|?
@mitoc>NC_037910.1 Musca sorbens isolate C065 mitochondrion  complete genome$errorrate$0.05,1138,1|243
@mitoc>NC_021952.1 Leontopithecus rosalia mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_037914.1 Cardiodactylus muiri voucher MNHN-EO-ENSIF4179 mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_053975.1 Poecilogale albinucha mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_024108.1 Grammistes sexlineatus mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_042173.1 Metapenaeus joyneri mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_042169.1 Bullacta exarata mitochondrion  complete genome$errorrate$0.01,3743,1|239
@mitoc>NC_042741.1 Pisaster ochraceus voucher M0D055189C mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_042742.1 Acropora valida voucher 60000 mitochondrion  complete genome$errorrate$0.05,2406,1|213
@mitoc>NC_042179.1 Saccharosydne procerus mitochondrion  complete genome$errorrate$0.05,117,1|219
@mitoc>NC_024295.1 Gramastacus lacus mitochondrial complete genome$errorrate$0.05,?,?|?
@mitoc>NC_024294.1 Ptychidio jordani mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_024276.1 Squatina japonica mitochondrion  complete genome$errorrate$0.01,3460,1|200
@mitoc>NC_034732.1 Lepilemur wrighti isolate KAL7.4 mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_024293.1 Rhazya stricta mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_034731.1 Lepilemur seali isolate JAR3.46 mitochondrion  complete genome$errorrate$0.01,3065,1|222
@mitoc>NC_034734.1 Lepilemur sahamalazensis isolate KMTEA7.5 mitochondrion  complete genome$2pointsRearrangement$NA,?,?|?
@mitoc>NC_034735.1 Lepilemur tymerlachsoni isolate LOKO4.2 mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_034736.1 Lepilemur jamesi isolate M104B mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_035673.1 Sporophila maximiliani mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_024645.1 Culter alburnus x Ancherythroculter nigrocauda mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_024646.1 Carterocephalus silvicola mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_034730.1 Lepilemur aeeclis isolate JAM4.8 mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_024648.1 Daimio tethys mitochondrion  complete genome$errorrate$0.01,3696,1|265
@mitoc>NC_034737.1 Lepilemur scottorum isolate MAS6.12 mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_024651.1 Paraglypturus tonganus (nomen nudum) mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_058685.1 Gracilaria usneoides voucher #FG122 mitochondrion  complete genome$errorrate$0.05,546,1|245
@mitoc>NC_058686.1 Gracilariopsis tenuifrons voucher ALCB103878 mitochondrion  complete genome$errorrate$0.01,2523,2|201
@mitoc>NC_046940.1 Girella melanichthys mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_037942.1 Gibbosula crassa mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_024652.1 Monochamus alternatus mitochondrion  complete genome$errorrate$0.01,3583,2|269
@mitoc>NC_036493.1 Bokermannohyla alvarengai mitochondrion  complete genome$errorrate$0.05,693,1|212
@mitoc>NC_030592.1 Abax parallelepipedus mitochondrion  complete genome$errorrate$0.05,1526,1|234
@mitoc>NC_024653.1 Ridgeia piscesae mitochondrion  complete genome$errorrate$0.01,2528,2|235
@mitoc>NC_024664.1 Allantus luctifer mitochondrion  complete genome$errorrate$0.05,3961,1|257
@mitoc>NC_024666.1 Galdieria sulphuraria strain 074W mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_037710.1 Junonia rhadama isolate REJR1 mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_035666.1 Eunicella albicans mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_046689.1 Cryptalaus yamato mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_046922.1 Myonycteris torquata isolate 1732 mitochondrion  complete genome$2pointsRearrangement$NA,?,?|?
@mitoc>NC_037732.1 Pagellus erythrinus mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_036478.1 Saccostrea echinata isolate ID107 mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_046894.1 Anterastes babadaghi mitochondrion  complete genome$errorrate$0.01,2219,1|239
@mitoc>NC_046931.1 Scotonycteris zenkeri occidentalis isolate G09106 mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_024672.1 Glyptothorax sinensis mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_024673.1 Henicorhina leucosticta mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_024674.1 Brachymystax tumensis isolate Bikin mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_037848.1 Lagenodelphis hosei voucher CRI000009 mitochondrion  complete genome$2pointsRearrangement$NA,?,?|?
@mitoc>NC_024682.1 Mionectes oleagineus voucher MJM2008 mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_024654.1 Phrynocephalus versicolor mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_024683.1 Sitobion avenae mitochondrion  complete genome$errorrate$0.05,1096,1|204
@mitoc>NC_040290.1 Oenanthe isabellina mitochondrion  complete genome$errorrate$0.05,2516,1|212
@mitoc>NC_037780.1 Pattonomys punctatus voucher AMNH:29872 mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_046917.1 Megaloglossus woermanni isolate 1538 mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_046905.1 Epomophorus crypturus voucher MNHN-ZM-2011-772 mitochondrion  complete genome$2pointsRearrangement$NA,?,?|?
@mitoc>NC_046953.1 Harpalus pensylvanicus mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_037746.1 Reduvius gregoryi mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_046734.1 Xylaria hypoxylon strain SFY20170806 mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_024671.1 Turbinaria peltata mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_040292.1 Nycticebus coucang insularis mitochondrion  complete genome$2pointsRearrangement$NA,?,?|?
@mitoc>NC_024670.1 Tetrastemma olgarum mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_040293.1 Heterorhabditis indica isolate NBAII Hi101 mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_024676.1 Tetranychus kanzawai mitochondrion  complete genome$errorrate$0.05,780,1|257
@mitoc>NC_024677.1 Tetranychus ludeni mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_024678.1 Tetranychus malaysiensis mitochondrion  complete genome$errorrate$0.05,146,1|229
@randoSequence$randomSequence$NA,?,?|?
@mitoc>NC_024656.1 Parafilaroides normani mitochondrion  complete genome$errorrate$0.01,1983,1|267
@mitoc>NC_058734.1 Salix dunnii mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_046741.1 Neotermes koshunensis mitochondrion  complete genome$errorrate$0.05,?,?|?
@randoSequence$randomSequence$NA,?,?|?
@mitoc>NC_040303.1 Microphysogobio sp. XZ-2015 mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_040304.1 Chrysiptera biocellata mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_026308.1 Urosaurus nigricaudus voucher ROM53168 mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_026288.1 Perna perna mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_040301.1 Ceratophyllus wui mitochondrion  complete genome$errorrate$0.05,3695,1|220
@mitoc>NC_022257.1 Nannochloropsis oculata strain CCMP525 mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_072056.1 Pseudechidna brummeri mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_072055.1 Enchelycore pardalis mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_072058.1 Monacha cartusiana mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_022258.1 Nannochloropsis oceanica strain CCMP531 mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_058738.1 Ahnfeltia fastigiata voucher SKK003979 mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_058741.1 Evolvulus alsinoides voucher KUBH9910 mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_026294.1 Schizothorax lantsangensis mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_048454.1 Malaza empyreus mitochondrion  complete genome$errorrate$0.01,2441,1|291
@mitoc>NC_048455.1 Malaza carmides mitochondrion  complete genome$errorrate$0.05,429,1|276
@mitoc>NC_072059.1 Polypedilum masudai mitochondrion  complete genome$errorrate$0.05,2987,1|188
@mitoc>NC_072063.1 Plagiorchis multiglandularis mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_072064.1 Agrypnus binodulus mitochondrion  complete genome$errorrate$0.01,550,4|269
@mitoc>NC_072066.1 Sciocoris lateralis mitochondrion  complete genome$errorrate$0.01,2592,1|209
@mitoc>NC_053533.1 Halocynthia aurantium mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_035630.1 Microcebus simmonsi isolate POLO5.19 mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_053534.1 Crematogaster teranishii mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_048466.1 Shoveliteratura triangula voucher St1706 mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_072072.1 Corydoras hastatus mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_022255.1 Nannochloropsis salina strain CCMP537 mitochondrion  complete genome$errorrate$0.01,?,?|?
@randoSequence$randomSequence$NA,?,?|?
@mitoc>NC_072071.1 Rhabdias kafunata mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_024680.1 Tetranychus pueraricola mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_053543.1 Svistella anhuiensis mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_053546.1 Gryllus bimaculatus mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_035663.1 Leptogorgia capverdensis mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_022256.1 Nannochloropsis limnetica strain CCMP505 mitochondrion  complete genome$errorrate$0.01,933,2|222
@mitoc>NC_048467.1 Lyperosomum longicauda isolate PakDv2 mitochondrion  complete genome$errorrate$0.05,1237,1|220
@mitoc>NC_058763.1 Alaria crispa voucher A1 mitochondrion  complete genome$errorrate$0.01,932,1|267
@mitoc>NC_058766.1 Alaria crassifolia strain KU-1164 mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_048465.1 Chorthippus fallax mitochondrion  complete genome$errorrate$0.05,?,?|?
@randoSequence$randomSequence$NA,?,?|?
@mitoc>NC_025559.1 Neomys fodiens mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_058765.1 Alaria esculenta strain KU-791 mitochondrion  complete genome$2pointsRearrangement$NA,?,?|?
@mitoc>NC_048471.1 Scythris sinensis mitochondrion  complete genome$errorrate$0.01,3091,1|217
@mitoc>NC_025580.1 Accipiter nisus mitochondrion  complete genome$errorrate$0.01,2834,2|234
@mitoc>NC_048470.1 Eremophila alpestris isolate J3 mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_067876.1 Modiolus modulaides mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_048472.1 Altica viridicyanea voucher NREA 9 mitochondrion  complete genome$errorrate$0.01,?,?|?
@randoSequence$randomSequence$NA,?,?|?
@mitoc>NC_025581.1 Ibacus ciliatus mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_068210.1 Potamyia horvati mitochondrion  complete genome$errorrate$0.01,2401,1|297
@randoSequence$randomSequence$NA,?,?|?
@mitoc>NC_034272.1 Sargassum spinuligerum mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_034276.1 Chlorocebus aethiops x Chlorocebus pygerythrus isolate C2 mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_034277.1 Chlorocebus djamdjamensis isolate C5 mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_020143.1 Sirthenea flavipes mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_035553.1 Pteranabropsis crenatis mitochondrion  complete genome$errorrate$0.05,?,?|?
@randoSequence$randomSequence$NA,?,?|?
@mitoc>NC_034279.1 Brahmaea hearseyi mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_020142.1 Oscaecilia ochrocephala mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_020145.1 Acrossocheilus wenchowensis mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_035571.1 Peromyscus polionotus mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_035504.1 Archichauliodes deceptor mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_023773.1 Pseudocentrotus depressus mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_023774.1 Heliocidaris crassispina mitochondrion  complete genome$errorrate$0.05,?,?|?
@randoSequence$randomSequence$NA,?,?|?
@mitoc>NC_023776.1 Hirudo nipponia mitochondrion  complete genome$errorrate$0.01,?,?|?
@randoSequence$randomSequence$NA,?,?|?
@mitoc>NC_058846.1 Saposhnikovia divaricata mitochondrion  complete genome$errorrate$0.01,3905,1|249
@mitoc>NC_042750.1 Blarinella cf. quadraticauda KIZ AL11069 voucher KIZ:AL11069 mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_044444.1 Fundulopanchax sjostedti strain Niger Delta mitochondrion  complete genome$2pointsRearrangement$NA,?,?|?
@mitoc>NC_042753.1 Nothrotheriops shastensis voucher RC L12 #1 mitochondrion  complete genome$errorrate$0.01,?,?|?
@mitoc>NC_042752.1 Acratocnus ye voucher UF 76365 mitochondrion  complete genome$errorrate$0.05,?,?|?
@randoSequence$randomSequence$NA,?,?|?
@mitoc>NC_044450.1 Fundulopanchax filamentosus strain Ikeja mitochondrion  complete genome$errorrate$0.05,?,?|?
@mitoc>NC_023783.1 Amphiascoides atopus mitochondrion  complete genome$errorrate$0.05,?,?|?
